Karst Landscape Evolution and Speleogenesis

KarstModel.inputdata() is over.

KarstModel.generate_fracture() is over

KarstModel.ConnectedFracture() is over

用时(s): 2

 numit original   2  qqbudget original 1.04341e-16
 numit01   2 errmax01  2.54873e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.23202e-12  qqbudget01  2.498e-16
 numit01   2 errmax01  7.3297e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  2.07958e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.43143e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.54376e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  2.63977e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  4.04901e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  4.39283e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  3.77868e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.52901e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.93789e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.33495e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.51865e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  3.93246e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  1.2801e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  6.23965e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  7.73765e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  6.61793e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  7.81046e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  1.50422e-13  qqbudget01  2.77556e-17
 numit01   2 errmax01  2.00063e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  1.88228e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  8.10344e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  3.25737e-12  qqbudget01  0
  numitouter  5   wettest01   53   wettest02  60
 layernodei   60
 numit01   2 errmax01  2.13592e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  2.22944e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  3.12529e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.4742e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  7.72355e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.82802e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.89271e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  1.90548e-12  qqbudget01  0
 numit01   2 errmax01  1.27037e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.46711e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  1.43292e-13  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.8309e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  3.52574e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  3.05779e-12  qqbudget01  -2.22045e-16
 numit01   2 errmax01  3.85835e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  4.57797e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.3186e-13  qqbudget01  1.94289e-16
 numit01   2 errmax01  2.97409e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  6.48814e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  7.02379e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.84819e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  3.1555e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  3.40159e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.00747e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  3.27944e-13  qqbudget01  2.77556e-16
 numit01   2 errmax01  1.62438e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.911e-13  qqbudget01  1.94289e-16
 numit01   2 errmax01  4.70985e-13  qqbudget01  -2.77556e-17
 numit01   2 errmax01  1.16787e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.9262e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  5.11834e-13  qqbudget01  2.77556e-17
 numit01   2 errmax01  6.26086e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  6.76801e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  2.49544e-13  qqbudget01  -2.498e-16
 numit01   2 errmax01  1.12875e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  2.28541e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.76644e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  2.63414e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.49254e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  3.10333e-12  qqbudget01  0
 numit01   2 errmax01  3.10335e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.54346e-13  qqbudget01  1.94289e-16
 numit01   2 errmax01  2.0703e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  8.97918e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  3.69975e-13  qqbudget01  2.22045e-16
 numit01   2 errmax01  2.06617e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  2.77779e-12  qqbudget01  -2.22045e-16
 numit01   2 errmax01  5.86474e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.32577e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  1.03407e-11  qqbudget01  -2.77556e-17
 numit01   2 errmax01  2.50552e-12  qqbudget01  0
 numit01   2 errmax01  2.49535e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.08836e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  7.46148e-13  qqbudget01  0
 numit01   2 errmax01  3.7644e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  8.98821e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.4804e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  5.12251e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  7.23414e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.27656e-11  qqbudget01  0
  numitouter  6   wettest01   60   wettest02  57
 layernodei   57
 numit01   2 errmax01  1.25908e-13  qqbudget01  -2.22045e-16
 numit01   2 errmax01  2.63981e-13  qqbudget01  0
 numit01   2 errmax01  5.1625e-12  qqbudget01  0
 numit01   2 errmax01  1.06344e-13  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.16922e-13  qqbudget01  2.22045e-16
 numit01   2 errmax01  4.25675e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  1.0566e-11  qqbudget01  -1.66533e-16
 numit01   2 errmax01  9.0951e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  7.90702e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  1.1986e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.70393e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  8.02254e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  3.09306e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  8.91147e-13  qqbudget01  2.77556e-17
 numit01   2 errmax01  5.04731e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.56592e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  3.50848e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  5.55381e-12  qqbudget01  0
 numit01   1 errmax01  1.18778e-13  qqbudget01  0
 numit01   2 errmax01  4.21441e-12  qqbudget01  2.77556e-16
 numit01   2 errmax01  1.4676e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  3.34325e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  7.4291e-13  qqbudget01  2.22045e-16
 numit01   2 errmax01  6.55897e-13  qqbudget01  1.94289e-16
 numit02   1 errmax02  1.10246e-13  qqbudget02  -2.23581e-16
 numit01   2 errmax01  1.61722e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  9.96439e-13  qqbudget01  1.11022e-16
 numit01   2 errmax01  9.559e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  8.99018e-13  qqbudget01  -2.77556e-17
 numit01   2 errmax01  2.11084e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  1.14923e-12  qqbudget01  1.66533e-16
 numit01   1 errmax01  9.93187e-14  qqbudget01  2.22045e-16
 numit01   2 errmax01  7.60825e-13  qqbudget01  1.38778e-16
 numit01   2 errmax01  6.58407e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  7.34249e-13  qqbudget01  0
 numit01   2 errmax01  2.12113e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  3.18693e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  8.29219e-13  qqbudget01  2.498e-16
 numit01   2 errmax01  3.05823e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  3.55148e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  2.37477e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  5.65332e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.67962e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.43879e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.40563e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  2.40139e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  8.39769e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  3.91981e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.71321e-12  qqbudget01  2.77556e-17
 numit01   2 errmax01  1.52952e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.95171e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.56803e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  3.51659e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.23662e-11  qqbudget01  1.66533e-16
 numit01   2 errmax01  6.04295e-12  qqbudget01  -1.38778e-16
 numit01   1 errmax01  6.62818e-14  qqbudget01  -1.38778e-16
 numit01   2 errmax01  2.2724e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  8.13482e-13  qqbudget01  -2.77556e-17
  numitouter  7   wettest01   56   wettest02  58
 layernodei   58
 numit01   2 errmax01  1.75198e-13  qqbudget01  -2.22045e-16
 numit01   2 errmax01  4.68078e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  5.8265e-12  qqbudget01  -2.22045e-16
 numit01   2 errmax01  4.48966e-12  qqbudget01  0
 numit01   2 errmax01  5.08932e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  5.45955e-12  qqbudget01  0
 numit01   2 errmax01  5.12816e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  9.97314e-14  qqbudget01  -1.38778e-16
 numit01   2 errmax01  5.94451e-12  qqbudget01  0
 numit01   2 errmax01  4.84949e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  9.36112e-12  qqbudget01  0
 numit01   2 errmax01  5.88714e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  5.11384e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.12491e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.93416e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  2.17754e-12  qqbudget01  0
 numit01   2 errmax01  4.00472e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.27792e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.28877e-13  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.6905e-13  qqbudget01  0
 numit01   2 errmax01  1.21495e-12  qqbudget01  -8.32667e-17
 numit01   1 errmax01  6.86396e-14  qqbudget01  -8.32667e-17
 numit01   2 errmax01  8.3154e-13  qqbudget01  2.498e-16
 numit01   2 errmax01  1.39177e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  6.07836e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  2.32592e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  9.99442e-13  qqbudget01  2.77556e-17
 numit01   2 errmax01  2.65904e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  6.64528e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.12614e-12  qqbudget01  0
 numit01   2 errmax01  6.73886e-13  qqbudget01  -2.22045e-16
 numit01   2 errmax01  3.20005e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  4.69702e-13  qqbudget01  0
 numit01   2 errmax01  9.86326e-14  qqbudget01  1.66533e-16
 numit01   2 errmax01  3.6034e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  1.15461e-13  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.77569e-13  qqbudget01  -1.94289e-16
 numit01   2 errmax01  8.01684e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.41251e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.86685e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  3.16496e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  3.6097e-12  qqbudget01  0
